#ID = Affymetrix Probe Set ID
#ORF = Entrez Gene Link
#SPOT_ID = identifies controls
#Species Scientific Name = The genus and species of the organism represented by the probe set.
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = 
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the Sequence Source field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#ENTREZ_GENE_ID = Entrez Gene Database UID
#RefSeq Transcript ID = 
#SGD accession number = SGD accession number
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
ID	ORF	SPOT_ID	Species Scientific Name	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	ENTREZ_GENE_ID	RefSeq Transcript ID	SGD accession number	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
3145_at	YILCDELTA5		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YILCDELTA5 Ty1 LTR	YILCDELTA5								
3147_at	YIRCDELTA6		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YIRCDELTA6 Ty1 LTR	YIRCDELTA6								
3148_s_at	YCR096C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YCR096C mating hormone a2	YCR096C	Silenced copy of ALPHA2 at HML; homeobox-domain protein that associates with Mcm1p in haploid cells to repress a-specific gene expression and interacts with a1p in diploid cells to repress haploid-specific gene expression /// Silenced copy of ALPHA2 at HML; homeobox-domain protein that associates with Mcm1p in haploid cells to repress a-specific gene expression and interacts with a1p in diploid cells to repress haploid-specific gene expression /// Silenced copy of ALPHA2 at HML; homeobox-domain protein that associates with Mcm1p in haploid cells to repress a-specific gene expression and interacts with a1p in diploid cells to repress haploid-specific gene expression	HMLALPHA2 /// HMRA2 /// MATALPHA2	850292 /// 850406 /// 850458	NM_001178708 /// NM_001178753 /// NM_001178802	S000000572 /// S000000635 /// S000000692	0000122 // negative regulation of transcription from RNA polymerase II promoter //  /// 0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0001198 // negative regulation of mating-type specific transcription from RNA polymerase II promoter // not recorded /// 0001198 // negative regulation of mating-type specific transcription from RNA polymerase II promoter // inferred from direct assay /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0007532 // regulation of mating-type specific transcription, DNA-templated // traceable author statement /// 0007535 // donor selection // traceable author statement	0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // not recorded /// 0005634 // nucleus // inferred from direct assay	0001227 // RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription // not recorded /// 0001227 // RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from electronic annotation /// 0003714 // transcription corepressor activity // traceable author statement /// 0008301 // DNA binding, bending // not recorded /// 0008301 // DNA binding, bending // inferred from direct assay /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from direct assay
3149_at		Found forward in NC_001133 between 13744 and 14743 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 13744 and 14743 with 100% identity.	NC_001133								
3150_at		Found forward in NC_001133 between 14744 and 15743 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 14744 and 15743 with 100% identity.	NC_001133								
3151_g_at		Found forward in NC_001133 between 14744 and 15743 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 14744 and 15743 with 100% identity.	NC_001133								
3152_at		Found forward in NC_001133 between 15744 and 16743 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 15744 and 16743 with 100% identity.	NC_001133								
3153_at		Found forward in NC_001133 between 16744 and 17743 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 16744 and 17743 with 100% identity.	NC_001133								
3154_at		Found forward in NC_001133 between 17744 and 18743 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 17744 and 18743 with 100% identity.	NC_001133								
3155_at		Found forward in NC_001133 between 18744 and 19729 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 18744 and 19729 with 100% identity.	NC_001133								
3156_at		Found forward in NC_001133 between 88357 and 89356 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 88357 and 89356 with 100% identity.	NC_001133								
3157_at		Found forward in NC_001133 between 89357 and 90356 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 89357 and 90356 with 100% identity.	NC_001133								
3158_at		Found forward in NC_001133 between 90357 and 91356 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 90357 and 91356 with 100% identity.	NC_001133								
3159_at		Found forward in NC_001133 between 91357 and 92356 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	Saccharomyces cerevisiae chromosome I, complete chromosome sequence. Found forward in NC_001133 between 91357 and 92356 with 100% identity.	NC_001133								
3161_f_at	YHRCSIGMA2		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCSIGMA2 Ty3 LTR	YHRCSIGMA2	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes	YGR109W-B	853006	NM_001184381	S000007347	0006261 // DNA-dependent DNA replication // inferred from electronic annotation /// 0006278 // RNA-dependent DNA replication // inferred from electronic annotation /// 0006310 // DNA recombination // inferred from electronic annotation /// 0006508 // proteolysis // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0015074 // DNA integration // inferred from electronic annotation /// 0019076 // viral release from host cell // inferred from electronic annotation /// 0032197 // transposition, RNA-mediated // inferred from sequence or structural similarity /// 0046797 // viral procapsid maturation // inferred from electronic annotation /// 0090305 // nucleic acid phosphodiester bond hydrolysis // inferred from electronic annotation /// 0090501 // RNA phosphodiester bond hydrolysis // inferred from sequence or structural similarity /// 0090502 // RNA phosphodiester bond hydrolysis, endonucleolytic // inferred from electronic annotation	0000943 // retrotransposon nucleocapsid // inferred from sequence or structural similarity /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from sequence or structural similarity /// 0003824 // catalytic activity // inferred from electronic annotation /// 0003887 // DNA-directed DNA polymerase activity // inferred from electronic annotation /// 0003887 // DNA-directed DNA polymerase activity // inferred from sequence or structural similarity /// 0003964 // RNA-directed DNA polymerase activity // inferred from electronic annotation /// 0003964 // RNA-directed DNA polymerase activity // inferred from sequence or structural similarity /// 0004190 // aspartic-type endopeptidase activity // inferred from electronic annotation /// 0004518 // nuclease activity // inferred from electronic annotation /// 0004519 // endonuclease activity // inferred from electronic annotation /// 0004523 // RNA-DNA hybrid ribonuclease activity // inferred from electronic annotation /// 0004540 // ribonuclease activity // inferred from sequence or structural similarity /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from sequence or structural similarity /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016779 // nucleotidyltransferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
3162_at	YHRWTAU3		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRWTAU3 Ty4 LTR	YHRWTAU3								
3163_i_at	YHRCDELTA8		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA8 Ty1 LTR	YHRCDELTA8								
3164_f_at	YHRCDELTA8		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA8 Ty1 LTR	YHRCDELTA8								
3165_at	YHRCTAU4		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCTAU4 Ty4 LTR	YHRCTAU4								
3166_i_at	YHRWDELTA9		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRWDELTA9 Ty1 LTR	YHRWDELTA9								
3167_r_at	YHRWDELTA9		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRWDELTA9 Ty1 LTR	YHRWDELTA9								
3168_f_at	YHRWDELTA9		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRWDELTA9 Ty1 LTR	YHRWDELTA9								
3169_f_at	YHRCDELTA10		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA10 Ty2 LTR	YHRCDELTA10	Mitochondrial protein of unknown function; required for respiratory growth; mutant accumulates less glycogen than does wild type; null mutation results in a decrease in plasma membrane electron transport; YIL060W is not an essential gene	YIL060W	854750	NM_001179410	S000001322		0005739 // mitochondrion // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	
3170_i_at	YHRCDELTA11		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA11 Ty1 LTR	YHRCDELTA11								
3171_r_at	YHRCDELTA11		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA11 Ty1 LTR	YHRCDELTA11								
3172_f_at	YHRCDELTA11		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA11 Ty1 LTR	YHRCDELTA11								
3173_i_at	YHRCDELTA12		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA12 Ty1 LTR	YHRCDELTA12								
3174_f_at	YHRCDELTA12		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA12 Ty1 LTR	YHRCDELTA12								
3175_i_at	YHRWDELTA13		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRWDELTA13 Ty1 LTR	YHRWDELTA13								
3176_f_at	YHRWDELTA13		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRWDELTA13 Ty1 LTR	YHRWDELTA13								
3177_f_at	YHRCSIGMA3		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCSIGMA3 Ty3 LTR	YHRCSIGMA3								
3178_f_at	YHRCDELTA14		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCDELTA14 Ty1 LTR	YHRCDELTA14								
3180_f_at	YHRCTY1-1		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YHRCTY1-1 Full length Ty1	YHRCTY1-1	Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress	YHR214C-B	856623	NM_001181431	S000000067 /// S000000940 /// S000000962 /// S000002155 /// S000003534 /// S000003788 /// S000004503 /// S000004508 /// S000004653 /// S000007225 /// S000007350 /// S000007352 /// S000007358 /// S000007360 /// S000007362 /// S000007364 /// S000007368 /// S000007374 /// S000007376 /// S000007385 /// S000007387 /// S000007391 /// S000007395 /// S000007399 /// S000007401 /// S000007408 /// S000007410	0006261 // DNA-dependent DNA replication // inferred from electronic annotation /// 0006278 // RNA-dependent DNA replication // inferred from electronic annotation /// 0006310 // DNA recombination // inferred from electronic annotation /// 0006508 // proteolysis // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0015074 // DNA integration // inferred from electronic annotation /// 0019076 // viral release from host cell // inferred from electronic annotation /// 0032196 // transposition // inferred from electronic annotation /// 0032197 // transposition, RNA-mediated // inferred from sequence or structural similarity /// 0046797 // viral procapsid maturation // inferred from electronic annotation /// 0090305 // nucleic acid phosphodiester bond hydrolysis // inferred from electronic annotation /// 0090501 // RNA phosphodiester bond hydrolysis // inferred from sequence or structural similarity /// 0090502 // RNA phosphodiester bond hydrolysis, endonucleolytic // inferred from electronic annotation	0000943 // retrotransposon nucleocapsid // inferred from sequence or structural similarity /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from sequence or structural similarity /// 0003824 // catalytic activity // inferred from electronic annotation /// 0003887 // DNA-directed DNA polymerase activity // inferred from electronic annotation /// 0003887 // DNA-directed DNA polymerase activity // inferred from sequence or structural similarity /// 0003964 // RNA-directed DNA polymerase activity // inferred from electronic annotation /// 0003964 // RNA-directed DNA polymerase activity // inferred from sequence or structural similarity /// 0004190 // aspartic-type endopeptidase activity // inferred from electronic annotation /// 0004518 // nuclease activity // inferred from electronic annotation /// 0004519 // endonuclease activity // inferred from electronic annotation /// 0004523 // RNA-DNA hybrid ribonuclease activity // inferred from electronic annotation /// 0004540 // ribonuclease activity // inferred from sequence or structural similarity /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from sequence or structural similarity /// 0016740 // transferase activity // inferred from electronic annotation /// 0016779 // nucleotidyltransferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
